Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,Frequency [6],Frequency [3],Frequency [8],Frequency [9],Frequency [16],Frequency [2],Frequency [11],Frequency [12],Frequency [1],Frequency [14],Frequency [7],Frequency [4],Frequency [15],Frequency [13],Frequency [5],Frequency [10],Anxiety,Depression,Insomnia,OCD,Music effects
22,3,1,1,1,2,10,1,1,3,3,2,4,1,1,1,2,2,1,4,2,1,1,4,4,3,6,1,1,2
20,6,4,1,2,2,15,1,1,3,2,1,2,1,3,3,2,1,2,1,3,4,4,4,2,9,10,3,0,2
30,3,1,2,1,2,5,1,2,3,3,2,3,1,2,1,1,1,1,3,3,1,2,4,1,8,5,8,9,2
26,7,4,1,2,2,4,2,2,2,4,2,1,1,2,2,1,3,1,2,4,2,1,3,1,8,7,7,3,2
19,3,5,1,2,2,5,1,1,3,2,1,3,2,2,3,2,2,2,4,3,2,2,4,3,9,9,9,3,0
21,0,5,1,2,2,3,1,2,1,4,2,3,1,2,1,1,1,1,3,3,1,2,4,1,9,8,9,7,2
33,3,7,1,2,2,5,1,1,2,3,3,3,2,4,2,2,3,3,3,4,4,4,4,3,9,3,7,8,2
28,5,2,1,2,2,5,1,2,1,2,2,2,1,3,1,2,1,3,2,3,4,2,4,2,10,8,6,2,2
25,3,3,1,2,2,5,1,1,2,1,3,3,1,2,1,2,1,3,4,3,2,2,4,3,9,6,3,0,2
22,5,2,1,2,2,4,2,2,2,1,2,2,2,2,2,1,1,2,1,4,2,2,3,3,7,7,8,3,2
19,3,3,1,2,1,5,1,1,3,1,3,3,1,1,1,1,1,2,2,2,2,1,4,2,9,10,4,0,2
44,7,3,1,2,2,9,1,1,2,2,2,4,2,3,2,1,2,3,1,2,3,3,2,3,9,9,8,2,2
22,3,3,1,2,2,5,2,2,1,2,1,4,1,2,1,1,1,1,4,2,1,1,4,2,9,10,3,9,2
26,3,5,1,1,1,7,1,1,3,2,4,2,2,2,3,3,1,2,4,3,3,2,3,3,10,9,8,8,2
23,0,6,1,2,1,6,2,1,4,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,6,5,6,8,2
17,3,2,2,2,2,15,2,1,3,1,2,1,1,4,2,2,1,2,1,3,4,3,1,2,8,6,10,3,2
42,5,2,2,2,2,7,1,2,3,2,3,2,1,3,1,1,1,1,4,3,3,3,4,2,8,3,6,4,2
30,3,1,2,1,2,5,1,2,2,1,2,2,1,2,2,1,2,2,2,4,2,2,4,2,4,2,1,3,2
35,3,1,1,2,2,4,1,1,3,2,3,2,1,3,2,2,1,1,1,4,2,2,3,2,2,1,1,1,0
